"lat","lon","APN","SEQUENCE","RDNUM","RDPREDIR","RDPREFIX","RDNAME","RDSUFFIX","RDPOSTDIR","COMMUNITY","ADDRCOMB"
"-121.083473816175","40.2612131478282","106091006000","0","7039",,"HIGHWAY","147",,,"EAST SHORE","7039 HIGHWAY 147"
"-121.083845730167","40.2615566443581","106091007000","0","7061",,"HIGHWAY","147",,,"EAST SHORE","7061 HIGHWAY 147"
"-121.083660521745","40.2613920765996","106091008000","0","7045",,"HIGHWAY","147",,,"EAST SHORE","7045 HIGHWAY 147"
"-121.083647859551","40.2624947982425","106092002000","0","7104",,"HIGHWAY","147",,,"EAST SHORE","7104 HIGHWAY 147"
"-121.083425665598","40.2622910469982","106092003000","0","7080",,"HIGHWAY","147",,,"EAST SHORE","7080 HIGHWAY 147"
"-121.082536330623","40.261474324524","106092005000","0","7030",,"HIGHWAY","147",,,"EAST SHORE","7030 HIGHWAY 147"
"-121.082313864285","40.2612698339271","106092006000","0","7008",,"HIGHWAY","147",,,"EAST SHORE","7008 HIGHWAY 147"
"-121.083203403393","40.2620870542833","106092007000","0","7064",,"HIGHWAY","147",,,"EAST SHORE","7064 HIGHWAY 147"
"-121.082981091682","40.261882911216","106092008000","0","7050",,"HIGHWAY","147",,,"EAST SHORE","7050 HIGHWAY 147"
"-121.082758735655","40.2616786682758","106092009000","0","7040",,"HIGHWAY","147",,,"EAST SHORE","7040 HIGHWAY 147"
"-121.084035001099","40.262941668962","106092010000","0","7130",,"HIGHWAY","147",,,"EAST SHORE","7130 HIGHWAY 147"
"-121.083869957501","40.2626981015388","106092011000","0","7120",,"HIGHWAY","147",,,"EAST SHORE","7120 HIGHWAY 147"
"-121.083008076496","40.260720426388","106101001000","0","7007",,"HIGHWAY","147",,,"EAST SHORE","7007 HIGHWAY 147"
"-121.082808891677","40.2605212590763","106101002000","0","6985",,"HIGHWAY","147",,,"EAST SHORE","6985 HIGHWAY 147"
"-121.082552217058","40.2603304731179","106101005000","0","6969",,"HIGHWAY","147",,,"EAST SHORE","6969 HIGHWAY 147"
"-121.082338959672","40.2601722576191","106101006000","0","6951",,"HIGHWAY","147",,,"EAST SHORE","6951 HIGHWAY 147"
"-121.082247180523","40.2601043161504","106101007000","0","6949",,"HIGHWAY","147",,,"EAST SHORE","6949 HIGHWAY 147"
"-121.082091306172","40.2610651034702","106102001000","0","6992",,"HIGHWAY","147",,,"EAST SHORE","6992 HIGHWAY 147"
"-121.081868599569","40.2608599822841","106102002000","0","6970",,"HIGHWAY","147",,,"EAST SHORE","6970 HIGHWAY 147"
"-121.081390793121","40.2604398492494","106102003000","0","6932",,"HIGHWAY","147",,,"EAST SHORE","6932 HIGHWAY 147"
"-121.081143685657","40.2602068833973","106102004000","0","6912",,"HIGHWAY","147",,,"EAST SHORE","6912 HIGHWAY 147"
"-121.080910683621","40.2599839990632","106102005000","0","6898",,"HIGHWAY","147",,,"EAST SHORE","6898 HIGHWAY 147"
"-121.080712336238","40.2597455813817","106102006000","0","6882",,"HIGHWAY","147",,,"EAST SHORE","6882 HIGHWAY 147"
"-121.080525832249","40.2594933592861","106102007000","0","6858",,"HIGHWAY","147",,,"EAST SHORE","6858 HIGHWAY 147"
"-121.080361223238","40.2592026215758","106102008000","0","6844",,"HIGHWAY","147",,,"EAST SHORE","6844 HIGHWAY 147"
"-121.08164526527","40.2606544367978","106102009000","0","6950",,"HIGHWAY","147",,,"EAST SHORE","6950 HIGHWAY 147"
"-121.081674994583","40.2595155656161","106103001000","0","6899",,"HIGHWAY","147",,,"EAST SHORE","6899 HIGHWAY 147"
"-121.0812926287","40.2588616607591","106103003000","0","6839",,"HIGHWAY","147",,,"EAST SHORE","6839 HIGHWAY 147"
"-121.081374696535","40.2590900187464","106103004000","0","6861",,"HIGHWAY","147",,,"EAST SHORE","6861 HIGHWAY 147"
"-121.081474800206","40.2592644276625","106103005000","0","6885",,"HIGHWAY","147",,,"EAST SHORE","6885 HIGHWAY 147"
"-121.08122404191","40.2586221624336","106111002000","0","6821",,"HIGHWAY","147",,,"EAST SHORE","6821 HIGHWAY 147"
"-121.081102356436","40.2583774332271","106111003000","0","6799",,"HIGHWAY","147",,,"EAST SHORE","6799 HIGHWAY 147"
"-121.081008314006","40.2572302495967","106113001000","0","6731",,"HIGHWAY","147",,,"EAST SHORE","6731 HIGHWAY 147"
"-121.080069652321","40.2576045251141","106114002000","0","6756",,"HIGHWAY","147",,,"EAST SHORE","6756 HIGHWAY 147"
"-121.080111416011","40.2571493760617","106114003000","0","6726",,"HIGHWAY","147",,,"EAST SHORE","6726 HIGHWAY 147"
"-121.080148042151","40.2568603861348","106114004000","0","6704",,"HIGHWAY","147",,,"EAST SHORE","6704 HIGHWAY 147"
"-121.080229849847","40.2589006978777","106114006000","0","6826",,"HIGHWAY","147",,,"EAST SHORE","6826 HIGHWAY 147"
"-121.080132962632","40.2585911002068","106114007000","0","6810",,"HIGHWAY","147",,,"EAST SHORE","6810 HIGHWAY 147"
"-121.079878167433","40.2583811027572","106114016000","0","6800",,"HIGHWAY","147",,,"EAST SHORE","6800 HIGHWAY 147"
"-121.078717364047","40.2491374874317","106121002000","0","6093",,"HIGHWAY","147",,,"EAST SHORE","6093 HIGHWAY 147"
"-121.078994082142","40.2488081378655","106121003000","0","6067",,"HIGHWAY","147",,,"EAST SHORE","6067 HIGHWAY 147"
"-121.079338810873","40.2486012042983","106121004000","0","6041",,"HIGHWAY","147",,,"EAST SHORE","6041 HIGHWAY 147"
"-121.079456587314","40.2483735664923","106121005000","0","6019",,"HIGHWAY","147",,,"EAST SHORE","6019 HIGHWAY 147"
"-121.077938317823","40.2473423111752","106122003000","0","5954",,"HIGHWAY","147",,,"EAST SHORE","5954 HIGHWAY 147"
"-121.078231893758","40.2470009735781","106122004000","0","5932",,"HIGHWAY","147",,,"EAST SHORE","5932 HIGHWAY 147"
"-121.077560661013","40.2470874687317","106122005000","0","5938",,"HIGHWAY","147",,,"EAST SHORE","5938 HIGHWAY 147"
"-121.078052869844","40.2479237899918","106122007000","0","5992",,"HIGHWAY","147",,,"EAST SHORE","5992 HIGHWAY 147"
"-121.078015286564","40.2476333611465","106122008000","0","5972",,"HIGHWAY","147",,,"EAST SHORE","5972 HIGHWAY 147"
"-121.077928383852","40.2487091799119","106122018000","0","6040",,"HIGHWAY","147",,,"EAST SHORE","6040 HIGHWAY 147"
"-121.079076163709","40.2473248575008","106123001000","0","5959",,"HIGHWAY","147",,,"EAST SHORE","5959 HIGHWAY 147"
"-121.079066263456","40.2467874498517","106131001000","0","5927",,"HIGHWAY","147",,,"EAST SHORE","5927 HIGHWAY 147"
"-121.079030847041","40.2465853089579","106131002000","0","5913",,"HIGHWAY","147",,,"EAST SHORE","5913 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003503","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003506","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003509","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003510","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
